Time,dayofyear,month,dayofweek,hourofday,minuteofday,daytype,season,Energy
1/1/2018 22:15,1,1,1,22,15,0,1,0.22800282
1/1/2018 22:30,1,1,1,22,30,0,1,0.22800282
1/1/2018 22:45,1,1,1,22,45,0,1,0.22800282
1/1/2018 23:00,1,1,1,23,0,0,1,0.22800282
1/1/2018 23:15,1,1,1,23,15,0,1,0.22800282
1/1/2018 23:30,1,1,1,23,30,0,1,0.22800282
1/1/2018 23:45,1,1,1,23,45,0,1,0.22800282
1/8/2018 0:00,8,1,1,0,0,0,1,0.292420028
1/8/2018 0:15,8,1,1,0,15,0,1,0.290652527
1/8/2018 0:30,8,1,1,0,30,0,1,0.288508345
1/8/2018 0:45,8,1,1,0,45,0,1,0.288305517
1/8/2018 1:00,8,1,1,1,0,0,1,0.291376912
1/8/2018 1:15,8,1,1,1,15,0,1,0.286219286
1/8/2018 1:30,8,1,1,1,30,0,1,0.287204451
1/8/2018 1:45,8,1,1,1,45,0,1,0.283234817
1/8/2018 2:00,8,1,1,2,0,0,1,0.284683588
1/8/2018 2:15,8,1,1,2,15,0,1,0.27871465
1/8/2018 2:30,8,1,1,2,30,0,1,0.28277121
1/8/2018 2:45,8,1,1,2,45,0,1,0.277584608
1/8/2018 3:00,8,1,1,3,0,0,1,0.273238294
1/8/2018 3:15,8,1,1,3,15,0,1,0.27941006
1/8/2018 3:30,8,1,1,3,30,0,1,0.273035466
1/8/2018 3:45,8,1,1,3,45,0,1,0.272426982
1/8/2018 4:00,8,1,1,4,0,0,1,0.271210014
1/8/2018 4:15,8,1,1,4,15,0,1,0.267530134
1/8/2018 4:30,8,1,1,4,30,0,1,0.270311776
1/8/2018 4:45,8,1,1,4,45,0,1,0.269007881
1/8/2018 5:00,8,1,1,5,0,0,1,0.265675707
1/8/2018 5:15,8,1,1,5,15,0,1,0.268109643
1/8/2018 5:30,8,1,1,5,30,0,1,0.267008577
1/8/2018 5:45,8,1,1,5,45,0,1,0.264284886
1/8/2018 6:00,8,1,1,6,0,0,1,0.267356282
1/8/2018 6:15,8,1,1,6,15,0,1,0.266168289
1/8/2018 6:30,8,1,1,6,30,0,1,0.264574641
1/8/2018 6:45,8,1,1,6,45,0,1,0.257012054
1/8/2018 7:00,8,1,1,7,0,0,1,0.248783032
1/8/2018 7:15,8,1,1,7,15,0,1,0.247681966
1/8/2018 7:30,8,1,1,7,30,0,1,0.250579509
1/8/2018 7:45,8,1,1,7,45,0,1,0.25741771
1/8/2018 8:00,8,1,1,8,0,0,1,0.267703987
1/8/2018 8:15,8,1,1,8,15,0,1,0.273296245
1/8/2018 8:30,8,1,1,8,30,0,1,0.27636764
1/8/2018 8:45,8,1,1,8,45,0,1,0.277642559
1/8/2018 9:00,8,1,1,9,0,0,1,0.296853268
1/8/2018 9:15,8,1,1,9,15,0,1,0.354804126
1/8/2018 9:30,8,1,1,9,30,0,1,0.357238062
1/8/2018 9:45,8,1,1,9,45,0,1,0.371146268
1/8/2018 10:00,8,1,1,10,0,0,1,0.393718127
1/8/2018 10:15,8,1,1,10,15,0,1,0.402497682
1/8/2018 10:30,8,1,1,10,30,0,1,0.405018544
1/8/2018 10:45,8,1,1,10,45,0,1,0.413508345
1/8/2018 11:00,8,1,1,11,0,0,1,0.417564905
1/8/2018 11:15,8,1,1,11,15,0,1,0.443874594
1/8/2018 11:30,8,1,1,11,30,0,1,0.440107789
1/8/2018 11:45,8,1,1,11,45,0,1,0.446163653
1/8/2018 12:00,8,1,1,12,0,0,1,0.50709898
1/8/2018 12:15,8,1,1,12,15,0,1,0.509069309
1/8/2018 12:30,8,1,1,12,30,0,1,0.474762401
1/8/2018 12:45,8,1,1,12,45,0,1,0.464476124
1/8/2018 13:00,8,1,1,13,0,0,1,0.469894529
1/8/2018 13:15,8,1,1,13,15,0,1,0.47096662
1/8/2018 13:30,8,1,1,13,30,0,1,0.451263329
1/8/2018 13:45,8,1,1,13,45,0,1,0.445584145
1/8/2018 14:00,8,1,1,14,0,0,1,0.460767269
1/8/2018 14:15,8,1,1,14,15,0,1,0.461868336
1/8/2018 14:30,8,1,1,14,30,0,1,0.457985628
1/8/2018 14:45,8,1,1,14,45,0,1,0.482180111
1/8/2018 15:00,8,1,1,15,0,0,1,0.486613352
1/8/2018 15:15,8,1,1,15,15,0,1,0.488207
1/8/2018 15:30,8,1,1,15,30,0,1,0.477225313
1/8/2018 15:45,8,1,1,15,45,0,1,0.478210478
1/8/2018 16:00,8,1,1,16,0,0,1,0.461317803
1/8/2018 16:15,8,1,1,16,15,0,1,0.45847821
1/8/2018 16:30,8,1,1,16,30,0,1,0.468156004
1/8/2018 16:45,8,1,1,16,45,0,1,0.492669217
1/8/2018 17:00,8,1,1,17,0,0,1,0.482382939
1/8/2018 17:15,8,1,1,17,15,0,1,0.452277469
1/8/2018 17:30,8,1,1,17,30,0,1,0.441440658
1/8/2018 17:45,8,1,1,17,45,0,1,0.430632823
1/8/2018 18:00,8,1,1,18,0,0,1,0.426228558
1/8/2018 18:15,8,1,1,18,15,0,1,0.415275846
1/8/2018 18:30,8,1,1,18,30,0,1,0.40472879
1/8/2018 18:45,8,1,1,18,45,0,1,0.394384562
1/8/2018 19:00,8,1,1,19,0,0,1,0.394674316
1/8/2018 19:15,8,1,1,19,15,0,1,0.380244553
1/8/2018 19:30,8,1,1,19,30,0,1,0.378419101
1/8/2018 19:45,8,1,1,19,45,0,1,0.372942745
1/8/2018 20:00,8,1,1,20,0,0,1,0.354543347
1/8/2018 20:15,8,1,1,20,15,0,1,0.346893834
1/8/2018 20:30,8,1,1,20,30,0,1,0.348719286
1/8/2018 20:45,8,1,1,20,45,0,1,0.344315021
1/8/2018 21:00,8,1,1,21,0,0,1,0.330609643
1/8/2018 21:15,8,1,1,21,15,0,1,0.31928025
1/8/2018 21:30,8,1,1,21,30,0,1,0.312673853
1/8/2018 21:45,8,1,1,21,45,0,1,0.322670376
1/8/2018 22:00,8,1,1,22,0,0,1,0.327683125
1/8/2018 22:15,8,1,1,22,15,0,1,0.330088085
1/8/2018 22:30,8,1,1,22,30,0,1,0.337940427
1/8/2018 22:45,8,1,1,22,45,0,1,0.324640705
1/8/2018 23:00,8,1,1,23,0,0,1,0.322525498
1/8/2018 23:15,8,1,1,23,15,0,1,0.316672462
1/8/2018 23:30,8,1,1,23,30,0,1,0.317309921
1/8/2018 23:45,8,1,1,23,45,0,1,0.315745248
1/15/2018 0:00,15,1,1,0,0,0,1,0.326553083
1/15/2018 0:15,15,1,1,0,15,0,1,0.327480297
1/15/2018 0:30,15,1,1,0,30,0,1,0.325857673
1/15/2018 0:45,15,1,1,0,45,0,1,0.323771442
1/15/2018 1:00,15,1,1,1,0,0,1,0.323249884
1/15/2018 1:15,15,1,1,1,15,0,1,0.323133982
1/15/2018 1:30,15,1,1,1,30,0,1,0.323307835
1/15/2018 1:45,15,1,1,1,45,0,1,0.312413074
1/15/2018 2:00,15,1,1,2,0,0,1,0.307545202
1/15/2018 2:15,15,1,1,2,15,0,1,0.307313398
1/15/2018 2:30,15,1,1,2,30,0,1,0.311775614
1/15/2018 2:45,15,1,1,2,45,0,1,0.302909133
1/15/2018 3:00,15,1,1,3,0,0,1,0.303430691
1/15/2018 3:15,15,1,1,3,15,0,1,0.299837738
1/15/2018 3:30,15,1,1,3,30,0,1,0.296708391
1/15/2018 3:45,15,1,1,3,45,0,1,0.300417246
1/15/2018 4:00,15,1,1,4,0,0,1,0.30609643
1/15/2018 4:15,15,1,1,4,15,0,1,0.301981919
1/15/2018 4:30,15,1,1,4,30,0,1,0.303082986
1/15/2018 4:45,15,1,1,4,45,0,1,0.300880853
1/15/2018 5:00,15,1,1,5,0,0,1,0.300243394
1/15/2018 5:15,15,1,1,5,15,0,1,0.29323134
1/15/2018 5:30,15,1,1,5,30,0,1,0.295665276
1/15/2018 5:45,15,1,1,5,45,0,1,0.294853964
1/15/2018 6:00,15,1,1,6,0,0,1,0.298388966
1/15/2018 6:15,15,1,1,6,15,0,1,0.29323134
1/15/2018 6:30,15,1,1,6,30,0,1,0.297345851
1/15/2018 6:45,15,1,1,6,45,0,1,0.294274455
1/15/2018 7:00,15,1,1,7,0,0,1,0.294042652
1/15/2018 7:15,15,1,1,7,15,0,1,0.300243394
1/15/2018 7:30,15,1,1,7,30,0,1,0.312123319
1/15/2018 7:45,15,1,1,7,45,0,1,0.305516922
1/15/2018 8:00,15,1,1,8,0,0,1,0.334608252
1/15/2018 8:15,15,1,1,8,15,0,1,0.357614743
1/15/2018 8:30,15,1,1,8,30,0,1,0.348284655
1/15/2018 8:45,15,1,1,8,45,0,1,0.344923505
1/15/2018 9:00,15,1,1,9,0,0,1,0.350950394
1/15/2018 9:15,15,1,1,9,15,0,1,0.40878535
1/15/2018 9:30,15,1,1,9,30,0,1,0.436427909
1/15/2018 9:45,15,1,1,9,45,0,1,0.453175707
1/15/2018 10:00,15,1,1,10,0,0,1,0.471024571
1/15/2018 10:15,15,1,1,10,15,0,1,0.502202133
1/15/2018 10:30,15,1,1,10,30,0,1,0.504578118
1/15/2018 10:45,15,1,1,10,45,0,1,0.501912378
1/15/2018 11:00,15,1,1,11,0,0,1,0.518776078
1/15/2018 11:15,15,1,1,11,15,0,1,0.507070005
1/15/2018 11:30,15,1,1,11,30,0,1,0.523585999
1/15/2018 11:45,15,1,1,11,45,0,1,0.542883635
1/15/2018 12:00,15,1,1,12,0,0,1,0.566063978
1/15/2018 12:15,15,1,1,12,15,0,1,0.565136764
1/15/2018 12:30,15,1,1,12,30,0,1,0.564325452
1/15/2018 12:45,15,1,1,12,45,0,1,0.55609643
1/15/2018 13:00,15,1,1,13,0,0,1,0.541492814
1/15/2018 13:15,15,1,1,13,15,0,1,0.524281409
1/15/2018 13:30,15,1,1,13,30,0,1,0.519529439
1/15/2018 13:45,15,1,1,13,45,0,1,0.564615206
1/15/2018 14:00,15,1,1,14,0,0,1,0.562413074
1/15/2018 14:15,15,1,1,14,15,0,1,0.56281873
1/15/2018 14:30,15,1,1,14,30,0,1,0.558298563
1/15/2018 14:45,15,1,1,14,45,0,1,0.596082522
1/15/2018 15:00,15,1,1,15,0,0,1,0.630099675
1/15/2018 15:15,15,1,1,15,15,0,1,0.608889662
1/15/2018 15:30,15,1,1,15,30,0,1,0.61619147
1/15/2018 15:45,15,1,1,15,45,0,1,0.637053778
1/15/2018 16:00,15,1,1,16,0,0,1,0.629114511
1/15/2018 16:15,15,1,1,16,15,0,1,0.626448771
1/15/2018 16:30,15,1,1,16,30,0,1,0.60605007
1/15/2018 16:45,15,1,1,16,45,0,1,0.606919332
1/15/2018 17:00,15,1,1,17,0,0,1,0.582000464
1/15/2018 17:15,15,1,1,17,15,0,1,0.54323134
1/15/2018 17:30,15,1,1,17,30,0,1,0.533959203
1/15/2018 17:45,15,1,1,17,45,0,1,0.5101414
1/15/2018 18:00,15,1,1,18,0,0,1,0.503940658
1/15/2018 18:15,15,1,1,18,15,0,1,0.477573018
1/15/2018 18:30,15,1,1,18,30,0,1,0.469923505
1/15/2018 18:45,15,1,1,18,45,0,1,0.456826611
1/15/2018 19:00,15,1,1,19,0,0,1,0.457116365
1/15/2018 19:15,15,1,1,19,15,0,1,0.436659713
1/15/2018 19:30,15,1,1,19,30,0,1,0.448771442
1/15/2018 19:45,15,1,1,19,45,0,1,0.449814557
1/15/2018 20:00,15,1,1,20,0,0,1,0.442396847
1/15/2018 20:15,15,1,1,20,15,0,1,0.434863236
1/15/2018 20:30,15,1,1,20,30,0,1,0.421360686
1/15/2018 20:45,15,1,1,20,45,0,1,0.416492814
1/15/2018 21:00,15,1,1,21,0,0,1,0.393080668
1/15/2018 21:15,15,1,1,21,15,0,1,0.379172462
1/15/2018 21:30,15,1,1,21,30,0,1,0.384214186
1/15/2018 21:45,15,1,1,21,45,0,1,0.386648122
1/15/2018 22:00,15,1,1,22,0,0,1,0.403511822
1/15/2018 22:15,15,1,1,22,15,0,1,0.395862309
1/15/2018 22:30,15,1,1,22,30,0,1,0.393196569
1/15/2018 22:45,15,1,1,22,45,0,1,0.391979601
1/15/2018 23:00,15,1,1,23,0,0,1,0.394877144
1/15/2018 23:15,15,1,1,23,15,0,1,0.3918637
1/15/2018 23:30,15,1,1,23,30,0,1,0.382185906
1/15/2018 23:45,15,1,1,23,45,0,1,0.37366713
1/22/2018 0:00,22,1,1,0,0,0,1,0.313977747
1/22/2018 0:15,22,1,1,0,15,0,1,0.306212332
1/22/2018 0:30,22,1,1,0,30,0,1,0.303894298
1/22/2018 0:45,22,1,1,0,45,0,1,0.309515531
1/22/2018 1:00,22,1,1,1,0,0,1,0.304010199
1/22/2018 1:15,22,1,1,1,15,0,1,0.30470561
1/22/2018 1:30,22,1,1,1,30,0,1,0.304415855
1/22/2018 1:45,22,1,1,1,45,0,1,0.31079045
1/22/2018 2:00,22,1,1,2,0,0,1,0.30470561
1/22/2018 2:15,22,1,1,2,15,0,1,0.298157163
1/22/2018 2:30,22,1,1,2,30,0,1,0.295781178
1/22/2018 2:45,22,1,1,2,45,0,1,0.295607325
1/22/2018 3:00,22,1,1,3,0,0,1,0.298388966
1/22/2018 3:15,22,1,1,3,15,0,1,0.297751507
1/22/2018 3:30,22,1,1,3,30,0,1,0.296534539
1/22/2018 3:45,22,1,1,3,45,0,1,0.298562819
1/22/2018 4:00,22,1,1,4,0,0,1,0.291608716
1/22/2018 4:15,22,1,1,4,15,0,1,0.29120306
1/22/2018 4:30,22,1,1,4,30,0,1,0.28987019
1/22/2018 4:45,22,1,1,4,45,0,1,0.29525962
1/22/2018 5:00,22,1,1,5,0,0,1,0.29050765
1/22/2018 5:15,22,1,1,5,15,0,1,0.286798795
1/22/2018 5:30,22,1,1,5,30,0,1,0.286566991
1/22/2018 5:45,22,1,1,5,45,0,1,0.29120306
1/22/2018 6:00,22,1,1,6,0,0,1,0.290449699
1/22/2018 6:15,22,1,1,6,15,0,1,0.283147891
1/22/2018 6:30,22,1,1,6,30,0,1,0.288131664
1/22/2018 6:45,22,1,1,6,45,0,1,0.281119611
1/22/2018 7:00,22,1,1,7,0,0,1,0.281119611
1/22/2018 7:15,22,1,1,7,15,0,1,0.277584608
1/22/2018 7:30,22,1,1,7,30,0,1,0.2804242
1/22/2018 7:45,22,1,1,7,45,0,1,0.284770515
1/22/2018 8:00,22,1,1,8,0,0,1,0.296998146
1/22/2018 8:15,22,1,1,8,15,0,1,0.302155772
1/22/2018 8:30,22,1,1,8,30,0,1,0.292941586
1/22/2018 8:45,22,1,1,8,45,0,1,0.295607325
1/22/2018 9:00,22,1,1,9,0,0,1,0.300359295
1/22/2018 9:15,22,1,1,9,15,0,1,0.355122856
1/22/2018 9:30,22,1,1,9,30,0,1,0.399165508
1/22/2018 9:45,22,1,1,9,45,0,1,0.416666667
1/22/2018 10:00,22,1,1,10,0,0,1,0.288711173
1/22/2018 10:15,22,1,1,10,15,0,1,0.47160408
1/22/2018 10:30,22,1,1,10,30,0,1,0.481455726
1/22/2018 10:45,22,1,1,10,45,0,1,0.478326379
1/22/2018 11:00,22,1,1,11,0,0,1,0.517964766
1/22/2018 11:15,22,1,1,11,15,0,1,0.546012981
1/22/2018 11:30,22,1,1,11,30,0,1,0.544796013
1/22/2018 11:45,22,1,1,11,45,0,1,0.545607325
1/22/2018 12:00,22,1,1,12,0,0,1,0.530829856
1/22/2018 12:15,22,1,1,12,15,0,1,0.514024108
1/22/2018 12:30,22,1,1,12,30,0,1,0.519471488
1/22/2018 12:45,22,1,1,12,45,0,1,0.538479369
1/22/2018 13:00,22,1,1,13,0,0,1,0.522600834
1/22/2018 13:15,22,1,1,13,15,0,1,0.513444599
1/22/2018 13:30,22,1,1,13,30,0,1,0.506258693
1/22/2018 13:45,22,1,1,13,45,0,1,0.519935095
1/22/2018 14:00,22,1,1,14,0,0,1,0.565716273
1/22/2018 14:15,22,1,1,14,15,0,1,0.605702364
1/22/2018 14:30,22,1,1,14,30,0,1,0.613583681
1/22/2018 14:45,22,1,1,14,45,0,1,0.617756143
1/22/2018 15:00,22,1,1,15,0,0,1,0.652874363
1/22/2018 15:15,22,1,1,15,15,0,1,0.606629578
1/22/2018 15:30,22,1,1,15,30,0,1,0.62227631
1/22/2018 15:45,22,1,1,15,45,0,1,0.630621233
1/22/2018 16:00,22,1,1,16,0,0,1,0.641168289
1/22/2018 16:15,22,1,1,16,15,0,1,0.625869263
1/22/2018 16:30,22,1,1,16,30,0,1,0.635025498
1/22/2018 16:45,22,1,1,16,45,0,1,0.60674548
1/22/2018 17:00,22,1,1,17,0,0,1,0.609643023
1/22/2018 17:15,22,1,1,17,15,0,1,0.578233658
1/22/2018 17:30,22,1,1,17,30,0,1,0.578233658
1/22/2018 17:45,22,1,1,17,45,0,1,0.569656931
1/22/2018 18:00,22,1,1,18,0,0,1,0.549258229
1/22/2018 18:15,22,1,1,18,15,0,1,0.52433936
1/22/2018 18:30,22,1,1,18,30,0,1,0.50880853
1/22/2018 18:45,22,1,1,18,45,0,1,0.470908669
1/22/2018 19:00,22,1,1,19,0,0,1,0.461404729
1/22/2018 19:15,22,1,1,19,15,0,1,0.453059805
1/22/2018 19:30,22,1,1,19,30,0,1,0.445873899
